First,Last,EmpID,MarriedID,MaritalStatusID,EmpStatusID,DeptID,PerfScoreID,Salary,Termd,PositionID,State,Zip,DOB,Sex,MaritalDesc,DateofHire,DateofTermination,TermReason,EmploymentStatus,ManagerName,PerformanceScore,EngagementSurvey,EmpSatisfaction,LastPerformanceReview_Date,DaysLateLast30,Absences
Adinolfi,Wilson,10026,0,0,1,5,4,62506,0,19,MA,1960,7/10/1983,M ,Single,7/5/2011,,N/A-StillEmployed,Active,Michael Albert,Exceeds,4.6,5,1/17/2019,0,1
Ait Sidi,Karthikeyan,10084,1,1,5,3,3,104437,1,27,MA,2148,5/5/1975,M ,Married,3/30/2015,6/16/2016,career change,Voluntarily Terminated,Simon Roup,Fully Meets,4.96,3,2/24/2016,0,17
Akinkuolie,Sarah,10196,1,1,5,5,3,64955,1,20,MA,1810,9/19/1988,F,Married,7/5/2011,9/24/2012,hours,Voluntarily Terminated,Kissy Sullivan,Fully Meets,3.02,3,5/15/2012,0,3
Alagbe,Trina,10088,1,1,1,5,3,64991,0,19,MA,1886,9/27/1988,F,Married,1/7/2008,,N/A-StillEmployed,Active,Elijiah Gray,Fully Meets,4.84,5,1/3/2019,0,15
Anderson,Carol,10069,0,2,5,5,3,50825,1,19,MA,2169,9/8/1989,F,Divorced,7/11/2011,9/6/2016,return to school,Voluntarily Terminated,Webster Butler,Fully Meets,5,4,2/1/2016,0,2
Anderson,Linda,10002,0,0,1,5,4,57568,0,19,MA,1844,5/22/1977,F,Single,1/9/2012,,N/A-StillEmployed,Active,Amy Dunn,Exceeds,5,5,1/7/2019,0,15
Andreola,Colby,10194,0,0,1,7,3,95660,0,24,MA,2110,5/24/1979,F,Single,11/10/2014,,N/A-StillEmployed,Active,Alex Sweetwater,Fully Meets,3.04,3,1/2/2019,0,19
Athwal,Sam,10062,0,4,1,5,3,59365,0,19,MA,2199,2/18/1983,M ,Widowed,9/30/2013,,N/A-StillEmployed,Active,Ketsia Liebig,Fully Meets,5,4,2/25/2019,0,19
Bachiochi,Linda,10114,0,0,3,5,3,47837,0,19,MA,1902,2/11/1970,F,Single,7/6/2009,,N/A-StillEmployed,Active,Brannon Miller,Fully Meets,4.46,3,1/25/2019,0,4
Bacong,Alejandro,10250,0,2,1,3,3,50178,0,14,MA,1886,1/7/1988,M ,Divorced,1/5/2015,,N/A-StillEmployed,Active,Peter Monroe,Fully Meets,5,5,2/18/2019,0,16
Baczenski,Rachael,10252,1,1,5,5,3,54670,1,19,MA,1902,1/12/1974,F,Married,1/10/2011,1/12/2017,Another position,Voluntarily Terminated,David Stanley,Fully Meets,4.2,4,1/30/2016,0,12
Barbara,Thomas,10242,1,1,5,5,3,47211,1,19,MA,2062,2/21/1974,M ,Married,4/2/2012,9/19/2016,unhappy,Voluntarily Terminated,Kissy Sullivan,Fully Meets,4.2,3,5/6/2016,0,15
Barbossa,Hector,10012,0,2,1,3,4,92328,0,9,TX,78230,7/4/1988,M ,Divorced,11/10/2014,,N/A-StillEmployed,Active,Simon Roup,Exceeds,4.28,4,2/25/2019,0,9
Barone,Francesco,10265,0,0,1,5,3,58709,0,19,MA,1810,7/20/1983,M ,Single,2/20/2012,,N/A-StillEmployed,Active,Kelley Spirea,Fully Meets,4.6,4,2/14/2019,0,7
Barton,Nader,10066,0,2,5,5,3,52505,1,19,MA,2747,7/15/1977,M ,Divorced,9/24/2012,4/6/2017,Another position,Voluntarily Terminated,Michael Albert,Fully Meets,5,5,3/2/2017,0,1
Bates,Norman,10061,0,0,4,5,3,57834,1,19,MA,2050,10/18/1981,M ,Single,2/21/2011,8/4/2017,attendance,Terminated for Cause,Kelley Spirea,Fully Meets,5,4,4/5/2017,0,20
Beak,Kimberly,10023,1,1,2,5,4,70131,0,20,MA,2145,4/17/1966,F,Married,7/21/2016,,N/A-StillEmployed,Active,Kelley Spirea,Exceeds,4.4,3,1/14/2019,0,16
Beatrice,Courtney,10055,0,0,1,5,3,59026,0,19,MA,1915,10/27/1970,F,Single,4/4/2011,,N/A-StillEmployed,Active,Elijiah Gray,Fully Meets,5,5,1/14/2019,0,12
Becker,Renee,10245,0,0,4,3,3,110000,1,8,MA,2026,4/4/1986,F,Single,7/7/2014,9/12/2015,performance,Terminated for Cause,Simon Roup,Fully Meets,4.5,4,1/15/2015,0,8
Becker,Scott,10277,0,0,3,5,3,53250,0,19,MA,2452,4/6/1979,M ,Single,7/8/2013,,N/A-StillEmployed,Active,Webster Butler,Fully Meets,4.2,4,1/11/2019,0,13
Bernstein,Sean,10046,0,0,1,5,3,51044,0,19,MA,2072,12/22/1970,M ,Single,4/2/2012,,N/A-StillEmployed,Active,Amy Dunn,Fully Meets,5,3,1/14/2019,0,13
Biden,Lowan,10226,0,2,1,5,3,64919,0,19,MA,2027,12/27/1958,F,Divorced,8/19/2013,,N/A-StillEmployed,Active,Ketsia Liebig,Fully Meets,4.2,3,1/10/2019,0,2
